0:21,11/18/2009,21
3:08,11/20/2009,188
0:35,11/21/2009,35
0:27,11/24/2009,27
0:43,11/25/2009,43
2:55,11/27/2009,175
3:07,11/28/2009,187
0:08,11/29/2009,8
0:20,12/2/2009,20
0:19,12/3/2009,19
2:54,12/4/2009,174
0:24,12/5/2009,24
0:21,12/28/2009,21
0:16,12/29/2009,16
0:58,12/30/2009,58
1:14,12/31/2009,74
0:44,6/11/2010,44
2:48,6/12/2010,168
0:45,6/13/2010,45
0:44,6/17/2010,44
0:14,6/18/2010,14
0:20,6/19/2010,20
0:53,6/20/2010,53
0:12,6/22/2010,12
0:14,6/24/2010,14
2:40,6/25/2010,160
0:28,6/26/2010,28
2:50,6/27/2010,170
0:16,6/29/2010,16
0:35,7/1/2010,35
0:37,7/2/2010,37
0:38,7/3/2010,38
2:52,7/4/2010,172
0:24,8/5/2010,24
2:55,8/6/2010,175
2:58,8/7/2010,178
0:44,8/9/2010,44
0:08,8/10/2010,8
0:23,8/12/2010,23
2:49,8/14/2010,169
0:26,8/17/2010,26
2:54,8/18/2010,174
0:43,10/10/2010,43
0:10,10/11/2010,10
0:30,10/12/2010,30
3:02,10/16/2010,182
0:48,10/19/2010,48
3:00,10/20/2010,180
0:37,10/22/2010,37
0:11,10/23/2010,11
0:29,10/24/2010,29
3:00,10/26/2010,180
0:47,10/29/2010,47
2:53,10/30/2010,173
4:22,10/31/2010,262
0:20,12/27/2010,20
0:39,12/28/2010,39
0:19,12/30/2010,19
3:31,12/31/2010,211
2:52,1/1/2011,172
0:29,5/26/2011,29
2:58,5/27/2011,178
2:41,5/28/2011,161
2:50,5/31/2011,170
0:21,6/1/2011,21
2:41,6/3/2011,161
2:55,6/4/2011,175
2:54,6/5/2011,174
0:33,6/7/2011,33
3:04,6/8/2011,184
0:15,6/10/2011,15
2:58,6/11/2011,178
3:03,6/12/2011,183
0:54,6/15/2011,54
3:02,6/17/2011,182
2:55,6/18/2011,175
0:39,6/19/2011,39
1:04,6/30/2011,64
3:22,7/1/2011,202
6:20,7/2/2011,380
3:35,7/3/2011,215
2:50,8/5/2011,170
0:32,8/6/2011,32
0:38,8/9/2011,38
0:14,8/10/2011,14
0:11,8/12/2011,11
3:08,8/15/2011,188
1:21,8/16/2011,81
1:29,8/17/2011,89
3:05,9/2/2011,185
3:29,9/3/2011,209
3:28,9/4/2011,208
1:30,9/14/2011,90
1:09,12/28/2011,69
0:29,12/29/2011,29
0:23,12/30/2011,23
0:25,12/31/2011,25
2:46,6/7/2012,166
2:42,6/8/2012,162
0:17,6/10/2012,17
3:02,6/15/2012,182
2:54,6/16/2012,174
0:42,6/17/2012,42
0:55,6/19/2012,55
0:32,6/20/2012,32
0:29,6/22/2012,29
2:55,6/23/2012,175
0:12,6/24/2012,12
3:01,6/28/2012,181
1:24,6/29/2012,84
0:16,6/30/2012,16
1:00,7/1/2012,60
0:50,7/3/2012,50
0:37,7/4/2012,37
3:02,7/6/2012,182
2:39,7/7/2012,159
3:22,7/8/2012,202
0:25,8/15/2012,25
0:16,8/17/2012,16
0:12,8/18/2012,12
3:18,8/19/2012,198
0:14,8/22/2012,14
2:58,8/24/2012,178
0:37,8/25/2012,37
2:54,8/26/2012,174
3:03,8/28/2012,183
0:09,8/29/2012,9
2:41,8/31/2012,161
3:08,9/1/2012,188
3:06,9/2/2012,186
2:51,12/28/2012,171
2:50,12/30/2012,170
3:31,12/31/2012,211
1:15,7/3/2013,75
2:52,7/5/2013,172
2:37,7/6/2013,157
2:53,7/7/2013,173
0:21,7/10/2013,21
1:21,7/12/2013,81
0:33,7/13/2013,33
3:02,7/14/2013,182
2:54,7/16/2013,174
0:27,7/17/2013,27
0:23,7/19/2013,23
3:30,7/20/2013,210
0:34,7/22/2013,34
3:15,7/26/2013,195
3:33,7/27/2013,213
1:19,7/30/2013,79
3:07,7/31/2013,187
1:07,8/2/2013,67
0:58,8/3/2013,58
1:02,8/4/2013,62
0:38,8/5/2013,38
3:23,8/30/2013,203
3:15,8/31/2013,195
0:37,9/1/2013,37
3:02,10/18/2013,182
2:44,10/19/2013,164
2:50,10/20/2013,170
0:10,10/22/2013,10
2:41,10/23/2013,161
3:05,10/25/2013,185
2:54,10/26/2013,174
2:57,10/27/2013,177
3:03,10/29/2013,183
4:01,10/31/2013,241
3:10,11/1/2013,190
2:58,11/2/2013,178
0:37,12/28/2013,37
2:42,12/29/2013,162
0:30,12/30/2013,30
3:31,12/31/2013,211
0:55,Fuego,55
0:30,7/1/2014,30
0:28,7/3/2014,28
0:34,7/4/2014,34
0:58,7/5/2014,58
0:46,7/8/2014,46
0:35,7/9/2014,35
0:46,7/11/2014,46
3:09,7/12/2014,189
3:12,7/13/2014,192
0:33,7/15/2014,33
0:19,7/16/2014,19
0:51,7/18/2014,51
0:25,7/19/2014,25
2:55,7/20/2014,175
0:27,7/25/2014,27
3:21,7/26/2014,201
2:56,7/27/2014,176
0:41,7/29/2014,41
3:18,7/30/2014,198
0:20,8/1/2014,20
0:41,8/3/2014,41
3:54,8/29/2014,234
3:26,8/30/2014,206
1:19,8/31/2014,79
3:02,10/17/2014,182
0:20,10/18/2014,20
0:28,10/21/2014,28
0:43,10/22/2014,43
2:53,10/24/2014,173
0:09,10/25/2014,9
2:53,10/27/2014,173
2:46,10/28/2014,166
0:23,10/29/2014,23
3:47,10/31/2014,227
2:51,11/1/2014,171
3:04,11/2/2014,184
1:17,12/31/2014,77
0:08,1/1/2015,8
2:47,1/2/2015,167
2:52,1/3/2015,172
0:25,7/21/2015,25
1:45,7/22/2015,105
2:34,7/24/2015,154
0:52,7/25/2015,52
0:14,7/28/2015,14
0:20,7/29/2015,20
2:49,7/31/2015,169
2:38,8/1/2015,158
0:30,8/2/2015,30
2:45,8/4/2015,165
0:21,8/5/2015,21
2:42,8/7/2015,162
0:32,8/8/2015,32
2:44,8/9/2015,164
1:23,8/11/2015,83
2:47,8/12/2015,167
0:45,8/14/2015,45
2:46,8/15/2015,166
0:30,8/16/2015,30
0:47,8/20/2015,47
3:06,8/21/2015,186
5:17,8/22/2015,317
3:15,8/23/2015,195
1:35,9/4/2015,95
3:15,9/5/2015,195
3:26,9/6/2015,206
0:54,12/30/2015,54
3:36,12/31/2015,216
2:46,1/1/2016,166
2:44,1/2/2016,164
2:36,1/15/2016,156
0:39,1/16/2016,39
2:51,1/17/2016,171
0:37,6/22/2016,37
0:28,6/24/2016,28
2:33,6/25/2016,153
0:20,6/26/2016,20
0:50,6/28/2016,50
1:19,6/29/2016,79
0:29,7/1/2016,29
0:12,7/2/2016,12
0:48,7/3/2016,48
0:03,7/6/2016,3
0:43,7/8/2016,43
2:45,7/9/2016,165
0:20,7/10/2016,20
